price,yearOfRegistration,powerPS,kilometer,model,fuelType,name
1450,1997,75,90000,andere,benzin,Toyota_Toyota_Starlet_1._Hand__TÜV_neu
13100,2005,280,5000,golf,benzin,R32_tauschen_oder_kaufen
4500,2008,87,90000,yaris,benzin,Toyota_Yaris_1.3_VVT_i
6000,2009,177,125000,3er,diesel,320_Alpinweiss_Kohlenstoff
3990,1999,118,90000,3er,benzin,BMW_318i_E46_+++_1._Hand_+++_Liebhaberfahrzeug
4400,2008,71,40000,fortwo,benzin,Smart_smart_fortwo_coupe_pulse
1500,2005,72,125000,andere,lpg,Chevrolet_Kalos_1.2_SE
3999,2009,61,40000,fortwo,benzin,Smart_fortwo__Coupe__mhd___neu__TueV_/HU___3/2018
640,1999,69,125000,andere,benzin,Suzuki_Wagon_R+_Garagenfahrzeug
9499,2010,109,80000,c4,diesel,Citroën_C4_Picasso_1.6_HDi_FAP_Tendance_AHK_Diesel_TOP
200,1995,50,125000,,benzin,Ford_fiesta_an_bastler
11500,2009,160,90000,scirocco,benzin,Volkswagen_Scirocco_1.4_TSI
42600,2015,184,5000,q3,diesel,Audi_Q3_2.0_TDI_quattro_S_tronic_sport
5750,2010,101,5000,,benzin,Brilliance_CamPro_1_6_SX_einmalig_in_Deutschland__4550KM
20500,2010,177,90000,1er,diesel,BMW_120d_Coupe_M_Packet
650,2002,60,125000,ka,benzin,Ford_Ka_mit_viele_Neuteile_Kupplung_Bremsen_usw.
5399,1999,193,125000,3er,,BMW_E46_328_Ci
3900,2007,90,125000,corsa,benzin,Opel_Corsa_D
3600,2009,76,125000,twingo,benzin,Renault_Twingo_1.2_16V__Night_&_Day_top_zustand
6750,2009,100,50000,civic,benzin,Honda_Civic_Type_S___Scheckheft___Garantie___top
4900,2011,61,50000,fortwo,benzin,Smart_Smart_Fortwo_Coupe_mhd
800,1995,150,90000,andere,benzin,Mitsubishi_Eclipse_2000_16V_GSi
6480,2007,102,125000,caddy,benzin,VW_Caddy_1.6_Life_Family__Zahnriehmen_Bremsen_usw_
5890,2005,136,60000,2_reihe,benzin,Peugeot_206_CC_135_Platinum
4500,2004,131,125000,passat,diesel,VW_Passat_1.9_TDI_Automatikgetriebe
1500,2004,157,5000,3er,lpg,Ferkaufen_meine_auto.
44000,1986,250,10000,andere,benzin,Ford_Gt_40_mk_lll
22999,2014,194,60000,astra,diesel,Opel_Opel_Astra_J_GTC_2.0_Cdti_Biturbo
6890,2010,68,30000,andere,benzin,Suzuki_Alto_1.0_Automatik_Comfort_TOP_ZUSTAND_PARKHILFE
4885,2007,60,80000,polo,benzin,Volkswagen_Polo_1.2_Tour_Klima_PDC_Winterreifen_Sitzheizung
12000,2013,105,40000,ibiza,benzin,Seat_Ibiza_FR_Kombi_1.2_*SHZ*_*Xenon*_grau
27499,2014,184,30000,3er,benzin,BMW_320i_Sport_Aut._M_Paket
13990,2011,105,80000,golf,benzin,VW_Golf_VI_Comfortline
20000,2017,239,90000,a5,,AUDI_A5_3.0_TDI__B&O__S_Line
1950,1999,65,80000,astra,benzin,Opel_Astra
4299,2005,75,70000,fabia,benzin,Skoda_Fabia_1.4_16V_Combi_Sport
16500,2013,150,125000,golf,diesel,Volkswagen_Golf_2.0_TDI_BlueMotion_Technology_DSG_Highline
2789,2006,67,70000,matiz,benzin,Chevrolet_Matiz_1.0
7900,2008,105,70000,terios,benzin,Daihatsu_Terios_2WD
5499,2012,60,70000,up,benzin,Volkswagen_up!_take_up!_lueckenlos_Scheckheft_8_fach_Bereift
2950,2002,41,125000,fortwo,diesel,SMART___CDI___DIESEL___SILBER___TOP
3900,2017,179,125000,leon,benzin,Seat_Leon_1M_1.8Turbo
1800,2006,60,125000,ka,benzin,Ford_Ford_Ka
3099,2003,109,90000,2_reihe,benzin,Peugeot_206_CC_110_Platinum_TOP_Scheckheft_VB.
180,1997,55,125000,corsa,benzin,Corsa_TÜV_Juli_2016
14950,2012,90,20000,polo,diesel,Volkswagen_Polo_1.6_TDI_DSG_MATCH_Panorama_AHK_NAVI_Telefon
9950,2009,143,125000,3er,benzin,BMW_318i_Touring
17999,2014,140,30000,golf,benzin,Volkswagen_Golf_1.4_TSI_BMT_Highl._Xen+Navi+Ergo+ACC+LaneA.
800,2002,116,125000,147,benzin,"Alfa_Romeo_147_""zum_reparieren_oder_ausschlachten"""
999,1996,60,125000,corsa,benzin,Opel_Corsa
8500,2011,184,80000,,,BMW_320d_Sport_Diesel_Automatik
12500,2006,231,125000,e_klasse,benzin,Mercedes_Benz_E_280_4Matic_Automatik_Elegance
3890,2004,95,90000,ka,benzin,Ford_Streetka_1.6_8V_Elegance
4200,2018,94,70000,andere,benzin,Suzuki_Ignis_1.3_X_45_Erste_Hand_und_Echte_KM_Stand
2750,2007,67,70000,matiz,benzin,Chevrolet_Matiz_1.0SE_67_PS_mit_Scheckheft
4000,2005,112,100000,scenic,benzin,Renault_Scenic_1_6_16v
1150,2001,115,5000,mondeo,diesel,Ford_mondeo_TÜV_2018
5990,2009,69,125000,,benzin,"Fiat_500_""by_diesel""_schwarz"
23000,2013,150,40000,golf,diesel,Golf_7_TDI_R_Line_Ausstattung
9000,1995,148,50000,,benzin,Pontiac_Firebird
14500,2010,143,125000,passat,diesel,Volkswagen_Passat_CC_2.0_Blue_TDI_DSG_XENON_LEDER_ACC_RLine
900,2002,58,100000,clio,benzin,Renault_Clio_1.2_Authentique
0,1999,90,100000,3_reihe,benzin,Peugeot_306_Break_1_6i
5900,2010,87,70000,kangoo,benzin,Renault_Kangoo
3990,2001,131,125000,a4,benzin,Audi_A4_2.0
2700,2006,95,125000,forfour,benzin,Smart_Top_Smart_fourfour_454_95PS_1_3_Liter_sehe_Bilder..
9444,2012,60,40000,polo,benzin,Volkswagen_Polo_1.2_MATCH
7999,2012,86,80000,roomster,benzin,Skoda_Roomster_1.2_TSI_FAMILY
16250,2009,170,60000,tiguan,benzin,VW_Tiguan_Sport_und_Style
9800,2010,105,40000,polo,benzin,VW_POLO___weiss__38.000km__105PS__VW_Alufelgen__8_fach_bereift
2600,2000,163,100000,c_klasse,benzin,Mercedes_Benz_C_200_Kompressor_Elegance
9500,2004,177,125000,a6,benzin,Audi_A6_2.4
3867,1995,218,125000,5er,benzin,BMW_530i_V8
19990,2010,145,80000,vivaro,diesel,Opel_Vivaro_2.5_CDTI_L1H1_Life_Cosmo_Westfalia
16500,2012,122,30000,a1,benzin,"Audi_A1_1.4_TFSI_Sportback_S_line__Xenon__Navi__18"""
500,1995,90,50000,golf,benzin,VW_Golf_3_/_Volkswagen
3500,2001,82,80000,jimny,benzin,Suzuki_Jimny
21000,2013,150,100000,a3,diesel,Audi_A3_2.0_TDI_Limousine
2399,2007,64,125000,fabia,benzin,Skoda_Fabia_1.2_HTP_TÜV_NEU
1400,2003,75,125000,twingo,benzin,Renault_Twingo_Cabriolet_in_der_Farbe_Grau.
13500,2008,163,125000,a4,benzin,Audi_A4_Cabriolet_1.8_T__multitronic_S_Line_Exterieur
6999,2004,145,70000,tucson,,Hyundai_tucson_2.0
2300,1999,116,125000,vectra,benzin,Opel_Vectra_1.8_Edition_100
27500,2000,224,80000,sl,benzin,Mercedes_Benz_SL320
8300,2012,54,60000,fortwo,diesel,Smart_CDI_Passion_vom_Werksangehoerigen
25000,2014,140,40000,yeti,diesel,Skoda_Yeti_2.0_TDI_4x4_Ambition_Monte_Carlo
6990,2011,110,125000,zafira,diesel,Opel_Zafira_1.7_CDTI_ecoFLEX_Design_Edition
7950,2005,163,100000,cl,benzin,Mercedes_Benz__200_Kompressor_Automatik_Leder
9999,2007,208,125000,,benzin,Lexus_IS_250_Aut._Sport_Line
5700,2004,116,125000,golf,benzin,Volkswagen_Golf_1.6_FSI_Comfortline
26900,2014,184,20000,1er,diesel,BMW_120d
8900,2005,250,125000,golf,benzin,Volkswagen_Golf_2.0_GTI_DSG
6000,2016,109,125000,i_reihe,benzin,Hyundai_i30_1.4_erster_Hand_!!
5500,2008,66,125000,berlingo,diesel,Berlingo_L1_1.6_HDI_90_LKW_Zulassg_3_Sitzer
5500,2003,163,100000,passat,diesel,Volkswagen_Passat_Variant_2.5_TDI_V6_Highline
5300,2008,105,125000,roomster,diesel,Skoda_Roomster_1.9_TDI_DPF_Style
2200,2003,58,90000,twingo,benzin,RENAULT_TWINGO_1.2_Authentique
8900,2012,100,50000,megane,benzin,Renault_Megane_Kombi__1._Hand
7250,2008,122,80000,1er,benzin,BMW_116i
11890,2012,150,80000,laguna,diesel,Renault_Laguna_Grandtour_Dci_._Navi_._Start_Stop_Dynamique
2599,2002,83,125000,jazz,benzin,Honda_Jazz_1_4_LS_Automatik_und_mit_Klima
10000,2004,163,100000,slk,benzin,Mercedes_Benz_SLK_200_Kompressor_Automatik
2000,2017,90,100000,,benzin,VW_Passat_von_1988_in_super_Schuss
2880,1998,190,125000,156,benzin,Alfa_Romeo_156_2.5_V6_24V
2400,2010,73,125000,fox,benzin,Volkswagen_Fox
12900,2011,120,5000,bravo,diesel,Fiat_Bravo_1_9_M_Jet_8V_DPF_Dynamice__0_KM__Neuwertig
16750,2011,156,80000,outlander,diesel,Mitsubishi_Outlander_2.2_DI_D_4WD_TC_SST_Instyle
2999,1999,116,125000,beetle,benzin,Volkswagen_New_Beetle_2.0
7900,2016,80,70000,polo,benzin,VW_POLO_CROSS_1.4l_80_PS
3800,2007,69,100000,yaris,benzin,Toyota_Yaris_1.0
12900,2008,170,125000,andere,diesel,Mercedes_Benz_E220
17000,2010,143,125000,a4,diesel,Audi_A4_Avant_2.0_TDI_DPF_S_line_Sportpaket__plus_
17950,2009,170,125000,a5,diesel,Audi_A5_2.0_TDI_DPF_S_line
1500,2017,107,100000,laguna,,Top_renault_laguna
1299,2002,60,80000,ka,benzin,Ford_Ka_Klima
8250,2013,69,20000,corsa,benzin,Opel_Corsa_1.2_16V__ecoFLEX_
4990,2007,80,80000,andere,benzin,Citroen_Xsara_Picasso_*1._Hand___Nichtraucherfahrzeug*
34999,2015,184,20000,tt,diesel,Audi_Audi_TT_Coupé_2.0_TDI_ultra_2x_S_line
1250,1999,54,125000,fortwo,benzin,Smart_smart_limited/1
1290,2017,170,125000,5er,benzin,Bmw_523_/TÜV_Juli_2017/Klimaautomatik
4850,2011,71,80000,fortwo,benzin,Smart_smart_fortwo_coupe_softouch_passion_micro_hy...
1780,2001,60,125000,2_reihe,benzin,Peugeot_206_2Jahre_TÜV
10550,2010,116,80000,b_klasse,benzin,Mercedes_Benz_B_180_BLUE_EFFICIENTCY
9699,2010,102,60000,golf,benzin,Volkswagen_Golf_6
600,2001,50,125000,fiesta,benzin,Ford_Fiesta
12600,2011,140,125000,transporter,diesel,VW_T_5_TD?_8_Sitzer_2.5_Edition_2._Hand
8499,2016,97,60000,fiesta,benzin,Ford_Fiesta_Sport_Vollausstattung_Tempomat_Scheckheft_gepflegt
1995,1979,90,70000,andere,benzin,Opel_Ascona_B_2.0
2399,2001,80,125000,a_klasse,benzin,Mercedes_A_klasse__Schwarz__TÜV_AU_NEU_v._Privat
6700,2009,116,100000,focus,benzin,Ford_Focus_Turnier_1.6_Ti_VCT_Style
11000,1974,74,30000,andere,benzin,Ford_Taunus_Knudsen_1600
1500,1980,69,125000,andere,benzin,Opel_Rekord_D_Restauration/Oldtimer/viele_Ersatzteile
4700,2004,170,5000,golf,diesel,Golf_5_2.0_TDI_ABT_170_PS
12500,2009,131,90000,sprinter,diesel,Mercedes_Benz_Sprinter
24000,2010,231,125000,glk,diesel,Mercedes_Benz_GLK_350_CDI_DPF_4Matic_7G_AUTOM_Sport_P._Comand
1159,1999,60,90000,ka,benzin,Ford_Ka_mit_neuem_TÜV_und_ohne_Rost_abzugeben
1200,2001,60,125000,fabia,benzin,Skoda_Fabia_1.4
5400,2008,80,70000,corsa,benzin,Opel_Corsa_D_1_2_Top_Zustand_in_Silber
4000,2011,54,90000,fortwo,diesel,Smart_smart_fortwo_cdi_coupe_black&white_limited_dpf
17999,2011,200,50000,octavia,benzin,Skoda_Octavia_Combi_2.0_TSI_DSG_RS
6100,2010,110,125000,megane,benzin,Renault_Megane_3_1_6_Coupe+2.Hand+Scheckh.+ÖlwechselNEU
4100,2002,143,125000,3er,benzin,BMW_318ti_compact
1500,2002,80,125000,punto,benzin,Fiat_Punto_1.2_16V_Sporting
12600,2007,104,100000,transporter,diesel,TÜV_Neu___VW_BUS___nur_private_Nutzung
24900,2011,260,30000,insignia,benzin,Opel_Insignia_2.8_V6_Turbo_Sports_Tourer_4x4_Auto...
11900,2006,140,90000,s_max,diesel,Ford_S_Max_2.0_TDCi_DPF_Titanium
3100,2000,116,125000,beetle,benzin,Volkswagen_Beetle
8350,2011,110,125000,meriva,diesel,Opel_meriva
2200,2002,109,125000,andere,benzin,Citroën_Xsara_1.6_16V_Chrono
21990,2010,231,125000,e_klasse,diesel,Mercedes_Benz_E_350_CDI_DPF_Coupe_BlueEFFICIENCY_7G_TRONIC
11500,2011,136,80000,auris,hybrid,Toyota_Auris_1.8_Hybrid_Life
699,2003,60,125000,punto,benzin,Fiat_Punto
6950,2010,143,100000,3er,diesel,BMW_318d_DPF_Touring
1980,2007,68,90000,1_reihe,benzin,Peugeot_107_70_Petit_Filou
5750,2017,193,125000,b_klasse,benzin,B_200_Turbo.Automatic_1.Hand
2100,2000,110,90000,corolla,benzin,Toyota_Corolla_1.6
700,1990,80,100000,andere,lpg,Gelaendewagen__mit__Gasanlage
2299,1999,101,125000,a3,benzin,Audi_A3_1.6
22500,2006,241,70000,andere,benzin,Honda_S_2000
14150,2008,136,20000,c_klasse,diesel,Mercedes_Benz_C_200_CDI_DPF
2800,2006,80,125000,micra,benzin,Nissan_Micra_1.2_Season
10450,2009,140,125000,golf,diesel,Volkswagen_Golf_Variant_2.0Sportline_/_Xenon_/_AHK/_Standheizung
2900,2007,95,125000,2_reihe,benzin,zu_verkaufen_Peugeot___Scheckheft_mit_Klima
7999,1977,150,90000,,benzin,Ford_F150_Pickup
15900,2013,207,30000,andere,benzin,Citroën_DS3_Racing
23900,2014,150,20000,octavia,diesel,Skoda_Octavia_Combi_2.0_TDI_Green_tec_Elegance
7380,2008,150,125000,laguna,diesel,Renault_Laguna_Grandtour_2.0_dCi_FAP_Dynamique
800,1997,45,80000,andere,benzin,Citroën_Saxo_1.0
4900,2008,73,80000,2_reihe,benzin,Peugeot_207_75_Filou
16500,2013,95,30000,1er,diesel,BMW_BMW_114d___Vollleder__Xenon__Navi__Glasdach__PDC
5400,2005,105,125000,astra,,Opel_Astra_H_GTC_1.6_Sport
5990,2009,75,40000,clio,benzin,Renault_Clio_III_1.2_Modell_2010
5950,2008,63,100000,roomster,benzin,Skoda_Roomster__1_Hd._TÜV__bis_5/2017__u._Inspektion_NEU
3700,2005,111,100000,modus,benzin,Renault_Modus_1.6_16V_ESP_Aut._Dynamique
16900,1993,192,40000,5er,benzin,BMW_525i_24V
12900,2011,86,50000,a1,benzin,Audi_A1_Attraction
5900,2018,96,60000,fiesta,benzin,Ford_Fiesta_1.4_Einparkhilfe/Bluetooth/Sitzheizung/TÜV_Neu
899,1995,90,125000,tigra,benzin,Opel_Tigra_1.4i_16V___KLIMA___TÜV_10.2016_!!!
1490,1987,75,125000,andere,benzin,Toyota_Carina_II_bald_Oldtimer
4500,1999,150,125000,3er,benzin,"BMW_320i_R6___Xenon___8Fach_Bereift___18""_Sommerraeder"
23500,2014,105,30000,golf,diesel,Verkaufe_meinen_Golf_VII
14999,2011,110,60000,megane,diesel,Renault_Megane_Cabrio_2012er
9850,2012,110,40000,megane,benzin,Top_gepflegter_Renault_Megane_SCHECKHEFT_KLIMA
17900,1993,190,125000,sl,benzin,Mercedes_Benz_300_SL
27300,2014,140,30000,q3,diesel,Audi_Q3_2.0TDI_quattro_Mythosschwarz_schwarz__BOSE_Sound
1650,2002,110,90000,2_reihe,benzin,Peugeot_206_Cabrio_Automatik
1999,2000,88,100000,3_reihe,benzin,Mazda_323_F_1.5_Exclusive
3200,2003,135,100000,laguna,benzin,Renault_Laguna_Grandtour_2.0_Automatik_Emotion_97000km
15000,2005,168,40000,slk,benzin,SLK_200_TOP_Zustand
8250,2011,101,50000,astra,benzin,Opel_Astra_1.4_ecoFLEX_Edition
6690,2010,99,125000,jazz,benzin,Honda_Jazz_1.4_i_VTEC_Comfort
9300,2010,87,80000,andere,benzin,Daihatsu_Copen_Top_S
17350,2015,105,10000,touran,benzin,Volkswagen_Touran_1.2_TSI_Trendline
3490,2006,106,125000,modus,diesel,Top_Renault_Modus_1_5_DCI_106_PS_1_Hand_Scheckheft
10200,2006,129,80000,3er,benzin,BMW_318i
600,2016,95,125000,primera,benzin,Nissan_Primera_Kombi_1_6_Liter
4800,2009,87,60000,sandero,benzin,Dacia_Sandero_mit_Top_Ausstattung_und_wenig_Kilometer
8900,2009,122,90000,1er,benzin,BMW_116i
9900,2010,140,70000,insignia,benzin,Opel_Insignia_1.8_Edition_Bj._11/2010
21200,2012,105,50000,touran,diesel,Volkswagen_Touran_1.6_TDI_DPF
1300,2016,75,5000,focus,benzin,Ford_Focus_1.4_mit_Klima
7800,2007,145,90000,focus,benzin,Ford_Focus_Coupe_Cabriolet_2.0_16V_Titanium
15500,2012,150,30000,c_max,benzin,Ford_C_MAX_1.6_EcoBoost_Start_Stop_System_Titanium
10999,2014,75,10000,clio,benzin,spritziger_Renault_Clio_dezirrot
25900,2014,150,10000,,diesel,Audi_A3_Sportback_Ambition_2.0_TDI_clean_diesel_110_150_kW
19950,2012,200,80000,galaxy,diesel,Ford_Galaxy_2.2_TDCi_DPF_Titanium
8890,2013,69,30000,polo,benzin,Volkswagen_Polo_1.2_MATCH
1900,2005,58,60000,twingo,benzin,Renault_Twingo_1.2_Lazuli
12000,2012,105,60000,golf,benzin,Golf_Plus___Navi_RNS_310_Winterpaket___NSW__PDC_vorne+hinten
5699,2003,218,100000,c_klasse,benzin,Mercedes_Benz_C_320_Sportcoupe
3899,1996,193,125000,3er,benzin,BMW_328i
18990,2012,200,80000,andere,benzin,Toyota_GT86_Inferno_Orange__teilfoliert__70tkm__Extras
299,2016,71,125000,swift,,Suzuki_Swift_Bj._90
5499,2002,90,50000,one,benzin,MINI_Mini_One
1900,2003,60,125000,corsa,benzin,Opel_Corsa_1.0_12V_model_2004
2400,2001,101,20000,bora,benzin,Volkswagen_Bora_1.6_Automatik_Comfortline
5900,1997,150,125000,e_klasse,benzin,Mercedes_Benz_E_230_Elegance
850,1998,75,100000,fiesta,benzin,Ford_Fiesta_Flair
3600,2009,67,90000,i_reihe,benzin,Hyundai_i10_1.1_Classic
5600,2016,116,20000,golf,,VW_Golf_1.6_Automatik
650,1998,75,100000,fiesta,benzin,Ford_Fiesta_Style_Kool
4799,2008,80,100000,andere,diesel,Skoda_Praktik_1.4_TDI
17400,2010,211,80000,golf,benzin,Volkswagen_Golf_2.0_GTI_DSG_Navi_Leder_DYNAUDIO_BiXenon_LED
14300,2009,160,90000,a3,benzin,Audi_A3_1.8_TFSI_Sportback_S_line_Sportpaket__plus_
6500,1996,116,125000,3er,benzin,BMW_318i
2000,1998,120,100000,3er,benzin,Gepflegter_BMW_E36_abzugeben!
19500,2010,163,70000,amarok,diesel,Volkswagen_Amarok
17499,2011,200,50000,octavia,benzin,Skoda_Octavia_RS_Kombi_DSG_Automatik
7450,2008,86,70000,roomster,benzin,Skoda_Roomster_1.4_16V_CYCLING
5999,2009,120,125000,c3,benzin,Citroën_C3_Picasso_VTi_120_Tendance
0,2003,48,5000,kangoo,diesel,Kangoo_zur_Teileverwertung_oder_Herrichten.
15550,2013,122,20000,a1,benzin,Audi_A1_1.4_TFSI_Attraction
5550,1995,193,125000,3er,benzin,BMW_E36_328i_Coupe
12000,2010,122,20000,golf,benzin,Golf_Plus_1.4_TSI_Team_DSG
3750,2007,77,125000,doblo,benzin,Fiat_Doblo_Cargo_223.116.2
11400,2016,105,40000,golf,diesel,Golf_6_DSG
39900,2010,140,90000,transporter,diesel,Volkswagen_T5_California_2_0_TDI_Kueche__AHK__PDC__Westfalia
4850,2008,80,90000,corsa,benzin,Opel_Corsa_1.2_16V_Edition
8000,2011,105,70000,,,Dacia_Duster_1.6_16v_Prestige!_AHK_Klimaanlage_Leder_weiss
13699,2010,170,125000,octavia,diesel,Skoda_Octavia_Combi_2.0_TDI_CR_DPF_RS
3199,2006,65,50000,picanto,benzin,Kia_Picanto_1.1_LX___Erst_48tsd_km!_Super_Zustand
5000,2006,136,90000,2_reihe,benzin,Peugeot_206_cc___Leder___Klima___Sitzheizung___Bose_Sound
225,1996,75,125000,megane,benzin,Renault_Megane_BASTLERFAHRZEUG
5000,2008,69,125000,polo,diesel,Volkswagen_Polo_1.4_TDI_DPF
4490,2009,73,100000,2_reihe,benzin,Peugeot_207_75_Urban_Move__Panoramadach__Klimaanlage
23400,2014,160,40000,kaefer,benzin,Volkswagen_1.4_TSI_DSG_R_Line
9000,2014,67,20000,i_reihe,benzin,Hyundai_i10_1.0_Fifa_World_Cup_Edition
5500,2009,109,125000,ceed,benzin,Kia_Ceed_1.4_/_TÜV_Neu
1600,2002,75,125000,clio,benzin,Renault_Clio_1.2_16V
11750,2014,109,20000,rio,benzin,Kia_Rio_Dream_Team_Edition_/_7_Jahren_Inspektion_frei_+_Garantie!
